QuestionText,Category,Answer
هل يُعد الكتاب المقدس اقدم نص ديني معروف؟,الدين,الكتاب المقدس ليس اقدم نص ديني معروف.
هل تُعتبر الماس من الاحجار الكريمة؟,الثقافة,تُعتبر الماس من الاحجار الكريمة.
هل يُستخدم الفلين في صناعة الزجاجات؟,التكنولوجيا,يُستخدم الفلين في صناعة الزجاجات.
هل تُعد الحيتان من الاسماك؟,التعليم,الحيتان ليست من الاسماك، هي من الثدييات.
هل يمكن للنباتات ان تنمو بدون ضوء الشمس؟,التعليم,لا يمكن للنباتات ان تنمو بدون ضوء الشمس.
هل يُعتبر الذهب اثقل من الحديد؟,التعليم,يُعتبر الذهب اثقل من الحديد.
هل تُستخدم الحواسيب في التنبو بحالة الطقس؟,التكنولوجيا,تُستخدم الحواسيب في التنبو بحالة الطقس.
هل يُعد الزيت النباتي مصدراً للطاقة المتجددة؟,التكنولوجيا,يُعد الزيت النباتي مصدراً للطاقة المتجددة.
هل تُعتبر النملة من الحشرات؟,التعليم,النملة تُعتبر من الحشرات.
هل يمكن للانسان ان يسمع الاصوات ذات التردد العالي جداً؟,الصحة,لا يمكن للانسان ان يسمع الاصوات ذات التردد العالي جداً.
هل يُعد البحر الاحمر من الممرات البحرية الهامة؟,الجغرافيا,يُعد البحر الاحمر من الممرات البحرية الهامة.
هل تُعتبر القارة الافريقية الاكبر من حيث المساحة؟,التعليم,القارة الاسيوية هي الاكبر من حيث المساحة.
هل يُستخدم الصوديوم في صناعة الملح؟,التكنولوجيا,يُستخدم الصوديوم في صناعة الملح.
هل تُعد الاشجار مصدراً للاوكسجين؟,البيئة والطاقة,تُعد الاشجار مصدراً للاوكسجين.
هل يمكن للافاعي ان تسمع الاصوات؟,التعليم,الافاعي لا تسمع الاصوات ولكنها تشعر بالاهتزازات.
هل يُعد الكمبيوتر من الادوات الحديثة؟,التكنولوجيا,يُعد الكمبيوتر من الادوات الحديثة.
هل تُعتبر الدببة من الحيوانات اللاحمة؟,التعليم,تُعتبر الدببة من الحيوانات اللاحمة.
هل يُستخدم السيليكون في صناعة الرقايق الالكترونية؟,التكنولوجيا,يُستخدم السيليكون في صناعة الرقايق الالكترونية.
هل تُعتبر النباتات مصدر غذاء رييسي للحيوانات العاشبة؟,البيئة والطاقة,تُعتبر النباتات مصدر غذاء رييسي للحيوانات العاشبة.
هل تُعد الالماس من المعادن؟,التعليم,الالماس ليس من المعادن.
هل كان لارسطو تاثير كبير على الفلسفة الغربية؟,الثقافة,كان لارسطو تاثير كبير على الفلسفة الغربية.
هل يمكن للانسان ان يعيش بدون كبد؟,الصحة,لا يمكن للانسان ان يعيش بدون كبد.
هل يعتبر الاوكسجين ضرورياً لعملية التنفس؟,الصحة,الاوكسجين ضروري لعملية التنفس.
هل يمكن للانسان ان يتذوق الطعام بدون لسان؟,الصحة,يمكن للانسان ان يتذوق الطعام بدون لسان.
هل يمكن للانسان ان يعيش بدون غذاء لفترة طويلة؟,الصحة,يمكن للانسان ان يعيش بدون غذاء لفترة طويلة.
هل تُستخدم الفيتامينات في تعزيز الصحة العامة؟,الصحة,تُستخدم الفيتامينات في تعزيز الصحة العامة.
هل يمكن للانسان ان يتنفس في الفضاء بدون معدات؟,التعليم,يمكن للانسان ان يتنفس في الفضاء بدون معدات.
هل يمكن للانسان ان يرى الاشياء بدون الضوء؟,التعليم,يمكن للانسان ان يرى الاشياء بدون الضوء.
هل يتناول الدجاج نوعًا معينًا من الطعام؟,الصحة,يتناول الدجاج انواعًا معينة من الطعام تتضمن الحبوب والبذور واحيانًا الحشرات.
هل لدى الدجاج نظام غذايي محدد؟,الصحة,لدى الدجاج نظام غذايي محدد يعتمد على الحبوب والبذور واحيانًا الحشرات.
هل كانت جهود المراة من اجل المساواة في الحقوق اثناء الحركة النسايية ناجحة؟,السياسة والقانون,كانت جهود المراة من اجل المساواة في الحقوق اثناء الحركة النسايية ناجحة في تحقيق العديد من التغييرات القانونية والاجتماعية.
هل هناك علاقة بين الخوف او الاضطرابات النفسية والشيب؟,الصحة,هناك علاقة بين الخوف او الاضطرابات النفسية والشيب حيث يمكن ان يسبب التوتر النفسي تسريع ظهور الشيب.
هل كانت الاشرطة قابلة للاستعاده والمعالجة دون تدمير المشروعية التاريخية ام ان بعض جوانب الاشرطة فقدت مشروعيتها؟,التكنولوجيا,بعض جوانب الاشرطة فقدت مشروعيتها التاريخية اثناء الاستعادة والمعالجة.
هل كانت الاشرطة المستعادة قابلة لاضافة لون اليها لتحسين الصورة ام انها بقيت بالابيض والاسود؟,التكنولوجيا,بقيت الاشرطة المستعادة بالابيض والاسود ولم تكن قابلة لاضافة لون اليها.
هل انضمّت النرويج بالنهاية الى الاتحاد الاوروبي سنة 1972؟,السياسة والقانون,لم تنضم النرويج الى الاتحاد الاوروبي سنة 1972.
هل حقق الاردن الاكتفاء الذاتي في زيت الزيتون؟,السياسة والقانون,"يعتبر القطاع الزراعي من القطاعات المهمة في الاردن، وتلعب الزراعة دورا هاما في المنظومة الاقتصادية والاجتماعية للمجتمعات الريفية كما ترتبط ارتباطا وثيقا بجهود المحافظة على البيية الطبيعية واستمراريتها. يواجه القطاع الزراعي في الاردن مشاكل وتحديات متمثلة في توالي سنوات الجفاف، تذبذب الامطار، قلة الاراضي الزراعية، ندرة الموارد المايية، والمخاطر المختلفة. يساهم القطاع الزراعي بما نسبته 5.6 % من الناتج المحلي الاجمالي ويعمل فيه 3.5% من مجموع القوى العاملة، وتشكل الصادرات الزراعية 15.4% من مجموع صادرات المملكة، يذهب 90.5 % منها الى الاسواق العربية. حقق الاردن الاكتفاء الذاتي في عدد من المنتجات الزراعية كزيت الزيتون، اللبن، الا ان الكثير من المنتجات الغذايية الاساسية كانواع القمح ومشتقات الحليب والسكر, اللحوم الحمراء والخضراوات تستورد من الخارج. نمت الصادرات من المنتجات الزراعية بنسبة 36.9% عام 2005 مقارنة بما قيمته 28.2% عام 2004. ومن اهم الصادرات الزراعية: الطماطم، الزيوت المهدرجة، والسجاير. اهم الدول المستوردة هي العراق، الامارات العربية المتحدة، وسوريا."
هل تعد الطماطم من اهم صادرات الاردن الزراعية؟,السياسة والقانون,"يعتبر القطاع الزراعي من القطاعات المهمة في الاردن، وتلعب الزراعة دورا هاما في المنظومة الاقتصادية والاجتماعية للمجتمعات الريفية كما ترتبط ارتباطا وثيقا بجهود المحافظة على البيية الطبيعية واستمراريتها. يواجه القطاع الزراعي في الاردن مشاكل وتحديات متمثلة في توالي سنوات الجفاف، تذبذب الامطار، قلة الاراضي الزراعية، ندرة الموارد المايية، والمخاطر المختلفة. يساهم القطاع الزراعي بما نسبته 5.6 % من الناتج المحلي الاجمالي ويعمل فيه 3.5% من مجموع القوى العاملة، وتشكل الصادرات الزراعية 15.4% من مجموع صادرات المملكة، يذهب 90.5 % منها الى الاسواق العربية. حقق الاردن الاكتفاء الذاتي في عدد من المنتجات الزراعية كزيت الزيتون، اللبن، الا ان الكثير من المنتجات الغذايية الاساسية كانواع القمح ومشتقات الحليب والسكر, اللحوم الحمراء والخضراوات تستورد من الخارج. نمت الصادرات من المنتجات الزراعية بنسبة 36.9% عام 2005 مقارنة بما قيمته 28.2% عام 2004. ومن اهم الصادرات الزراعية: الطماطم، الزيوت المهدرجة، والسجاير. اهم الدول المستوردة هي العراق، الامارات العربية المتحدة، وسوريا."
هل تم قبول فكرة الصرفة بشكل واسع بين العلماء المسلمين؟,الدين,غير ان بعضهم قالوا بان فكرة الاعجاز يجب الا تفهم هذا الفهم الضيق ومنهم «ابراهيم النظام» الذي ادخل الى النقاش الداير بين العلماء فكرة «الصرفة» قايلا ان اعجاز القران الكريم يقوم على «ان الله صرف العرب عن معارضته بان سلب علومهم به» ولم يقبل هذا الفكرة الا قلايل.
هل يمكن لاي شخص ان ياتي بمثل القران وفقًا للمعتقد الاسلامي؟,الدين,والاعجاز القراني مصطلح يدل على: قصور الانس والجن عن ان ياتوا بمثل القران الكريم او بسورةٍ من مثلهِ.
هل قبل العلماء المسلمون فكرة الصرفة بالاجماع؟,الدين,غير ان بعضهم قالوا بان فكرة الاعجاز يجب الا تفهم هذا الفهم الضيق ومنهم «ابراهيم النظام» الذي ادخل الى النقاش الداير بين العلماء فكرة «الصرفة» قايلا ان اعجاز القران الكريم يقوم على «ان الله صرف العرب عن معارضته بان سلب علومهم به» ولم يقبل هذا الفكرة الا قلايل.
هل يمكن للمواد المسرطنة ان تودي الى موت الخلايا؟,الصحة,عادة ما يودي تلف الحمض النووي -في الحالات الحادة التي يصعب علاجها- الى موت الخلايا المبرمج.
هل ارتفعت قيمة الصادرات الزراعية في عام 2006؟,السياسة والقانون,ارتفعت قيمة الصادرات الزراعية بنسبة (17.3%) خلال عام 2006.
هل يمتلك الاردن حصة فردية من موارد المياه المتجددة تعد من ادنى الحصص في العالم؟,السياسة والقانون,وتعتبر حصة الفرد من موارد المياه المتجددة من ادنى الحصص في العالم.
هل تعرض التاريخ الاسلامي لغزو فكري؟,التاريخ,تعرض التاريخ الاسلامي لاكبر قدر من الغزو الفكري.
هل كانت الجزيرة العربية قبل ظهور الاسلام مجموعة من القبايل العربية؟,التاريخ,كانت الجزيرة العربية قبل ظهور الاسلام مجموعة من القبايل العربية.
هل يشمل التاريخ الاسلامي الفترة الاموية؟,التاريخ,يمتد التاريخ الاسلامي منذ بداية الدعوة الاسلامية مرورا بالدولة الاموية.
هل تختلف وجهات نظر المحللين في تفسير التاريخ الاسلامي؟,التاريخ,تختلف وجهات النظر التي تحاول شرح وتفسير التاريخ الاسلامي حسب الخلفيات الايديولوجية والادوات التحليلية المستخدمة.
هل جمع زيد بن ثابت القران في عهد ابي بكر؟,التاريخ,فاَمَر الصِّدِّيق زيدَ بن ثابت بجمعه.
هل تمت توسعة المسجد النبوي في عهد عثمان؟,التاريخ,تمت في عهده توسعة المسجد النبوي عام 29 - 30 هـ.
هل جمع زيد بن ثابت القران في عهد ابي بكر؟,التاريخ,فاَمَر الصِّدِّيق زيدَ بن ثابت بجمعه
هل تمت توسعة المسجد النبوي في عهد عثمان؟,التاريخ,تمت في عهده توسعة المسجد النبوي عام 29 - 30 هـ
هل قاتل المسلمون ضد المرتدين في عهد ابي بكر؟,التاريخ,نعم، قاتل المسلمون المرتدين في حروب الردة.
هل استطاع المسلمون فتح القدس؟,التاريخ,نعم، استطاع المسلمون فتح القدس.
هل قام زيد بن ثابت بجمع القران في عهد ابي بكر؟,التاريخ,فاَمَر الصِّدِّيق زيدَ بن ثابت بجمعه.
هل استطاع المسلمون فتح القدس؟,التاريخ,فركب اليهم في جنوده، وحاصر بيت المقدس، وضيق عليهم حتى اجابوا الى الصلح.
هل كانت خلافة عبد الملك بن مروان مليية بالفتن والانقسامات؟,التاريخ,تولي الحكم سنة 65 هـ والدولة في حالة انقسام وضعف.
هل اسس الفاطميون الجامع الازهر؟,التاريخ,انشاوا بها الجامع الازهر.
هل البوسنة والهرسك عضوا في منظمة الموتمر الاسلامي؟,السياسة والقانون,كما يوجد بعض الدول التي يمكن اعتبارها اسلامية وليست عضوا في منظمة الموتمر الاسلامي، مثل البوسنة والهرسك.
هل خضعت معظم انحاء العالم الاسلامي للاحتلال الاوروبي؟,التاريخ,خضعت معظم انحاء العالم الاسلامي للاحتلال الاوروبي.
هل يمكن ان يكون الذكاء الاصطناعي خطيرًا اذا لم يتم التحكم فيه؟,التكنولوجيا,يمكن ان يكون الذكاء الاصطناعي خطيرًا اذا لم يتم التحكم فيه بشكل صحيح وتوجيهه نحو الاهداف الايجابية.
الهمزة: هل تتوقع ان يتغير التعليم التقليدي في المستقبل؟,التعليم,يتوقع ان يتغير التعليم التقليدي في المستقبل نحو الاعتماد على التكنولوجيا والتعلم عن بُعد.
هل يمكن ان تودي الطاقة المتجددة الى استبدال الوقود الاحفوري بالكامل؟,البيئة والطاقة,يمكن ان تودي الطاقة المتجددة الى استبدال الوقود الاحفوري بالكامل اذا تم الاستثمار بشكل كافٍ في تطويرها.
هل يمكن ان يحل التعليم عن بُعد محل التعليم التقليدي؟,التعليم,يمكن ان يحل التعليم عن بُعد محل التعليم التقليدي في بعض المجالات اذا استمر التطور التكنولوجي.
هل يمكن ان يحل الذكاء الاصطناعي محل الانسان في جميع الوظايف؟,التكنولوجيا,الذكاء الاصطناعي قد يحل محل الانسان في بعض الوظايف، لكنه لن يتمكن من استبدال الانسان في الوظايف التي تتطلب الابداع والتفاعل البشري.
هل يمكن للذكاء الاصطناعي تحسين الرعاية الصحية؟,الصحة,يمكن للذكاء الاصطناعي تحسين الرعاية الصحية من خلال تحليل البيانات الضخمة وتقديم تشخيصات دقيقة.
هل يمكن ان يودي الابتكار الى تحسين الاقتصاد الوطني؟,الاقتصاد والعمل,يمكن ان يودي الابتكار الى تحسين الاقتصاد الوطني من خلال خلق فرص عمل جديدة وزيادة الانتاجية.
هل يمكن للتكنولوجيا ان تحل جميع مشاكل الانسان؟,التكنولوجيا,التكنولوجيا يمكن ان تحل بعض المشاكل، لكنها لا تستطيع حل المشاكل المتعلقة بالعلاقات الانسانية والاخلاق.
هل يمكن ان يحسن استخدام التكنولوجيا الانتاجية في العمل؟,التكنولوجيا,يمكن ان يحسن استخدام التكنولوجيا الانتاجية في العمل من خلال اتمتة المهام الروتينية وتسهيل التواصل.
هل يمكن للروبوتات ان تحل محل البشر في مجالات العمل الابداعية؟,التكنولوجيا,من غير المحتمل ان تحل الروبوتات محل البشر في مجالات العمل الابداعية لانها تفتقر الى الخيال والابداع البشري.
هل يمكن ان تسهم الفنون في تعزيز الحوار بين الثقافات؟,الثقافة,يمكن ان تسهم الفنون في تعزيز الحوار بين الثقافات من خلال التعبير عن القيم الانسانية المشتركة وفتح مجالات للتفاعل الثقافي.
هل يمكن للذكاء الاصطناعي ان يحل محل البشر في جميع الوظايف؟,التكنولوجيا,الذكاء الاصطناعي قد يحل محل البشر في بعض الوظايف، لكنه لن يتمكن من اداء الوظايف التي تتطلب الابداع والتفاعل البشري.
هل يمكن للبشرية التعايش مع الذكاء الاصطناعي بدون مشاكل؟,التكنولوجيا,التعايش مع الذكاء الاصطناعي يعتمد على كيفية التعامل مع القضايا الاخلاقية والامنية والتكنولوجية.
هل يمكن الاستغناء عن الطاقة النووية في المستقبل؟,البيئة والطاقة,قد يكون من الممكن الاستغناء عن الطاقة النووية في المستقبل اذا تم تطوير مصادر الطاقة المتجددة بشكل كافٍ.
هل يمكن تحقيق التوازن بين التطور الصناعي والحفاظ على البيية؟,البيئة والطاقة,يمكن تحقيق التوازن بين التطور الصناعي والحفاظ على البيية من خلال تبني ممارسات صناعية مستدامة وتقنيات حديثة.
هل يمكن للذكاء الاصطناعي ان يحل محل البشر في الوظايف؟,التكنولوجيا,يمكن للذكاء الاصطناعي ان يحل محل البشر في بعض الوظايف، خاصة تلك التي تعتمد على المهام الروتينية والمتكررة.
هل يمكن الاعتماد على الطاقة الشمسية كمصدر رييسي للطاقة؟,البيئة والطاقة,يمكن الاعتماد على الطاقة الشمسية كمصدر رييسي للطاقة في المستقبل مع تحسين التكنولوجيا وزيادة كفاءتها.
هل يمكن تحقيق الاستدامة البييية بدون تكنولوجيا حديثة؟,البيئة والطاقة,يمكن تحقيق بعض جوانب الاستدامة البييية بدون تكنولوجيا حديثة، لكن التكنولوجيا تلعب دورًا حاسمًا في تحقيق الاستدامة الكاملة.
هل يمكن استخدام الطاقة النووية بشكل امن؟,البيئة والطاقة,يمكن استخدام الطاقة النووية بشكل امن اذا تم اتباع اجراءات السلامة الصارمة ومراقبة التشغيل المستمرة.
ما الذي يتجمد اسرع الماء الساخن ام البارد؟,العلوم,"يتجمد الماء الساخن اسرع من الماء البارد في بعض الظروف، وهي ظاهرة تُعرف بـ""تاثير مبمبا""، والسبب الدقيق لهذه الظاهرة لا يزال غير موكد بالكامل ويعتمد على عدة عوامل مثل التبخر والتوصيل الحراري."
استنتج بعض المخاطر التي يواجهها القطاع الزراعي في الاردن.,السياسة والقانون,"يعتبر القطاع الزراعي من القطاعات المهمة في الاردن، وتلعب الزراعة دورا هاما في المنظومة الاقتصادية والاجتماعية للمجتمعات الريفية كما ترتبط ارتباطا وثيقا بجهود المحافظة على البيية الطبيعية واستمراريتها. يواجه القطاع الزراعي في الاردن مشاكل وتحديات متمثلة في توالي سنوات الجفاف، تذبذب الامطار، قلة الاراضي الزراعية، ندرة الموارد المايية، والمخاطر المختلفة. يساهم القطاع الزراعي بما نسبته 5.6 % من الناتج المحلي الاجمالي ويعمل فيه 3.5% من مجموع القوى العاملة، وتشكل الصادرات الزراعية 15.4% من مجموع صادرات المملكة، يذهب 90.5 % منها الى الاسواق العربية. حقق الاردن الاكتفاء الذاتي في عدد من المنتجات الزراعية كزيت الزيتون، اللبن، الا ان الكثير من المنتجات الغذايية الاساسية كانواع القمح ومشتقات الحليب والسكر, اللحوم الحمراء والخضراوات تستورد من الخارج. نمت الصادرات من المنتجات الزراعية بنسبة 36.9% عام 2005 مقارنة بما قيمته 28.2% عام 2004. ومن اهم الصادرات الزراعية: الطماطم، الزيوت المهدرجة، والسجاير. اهم الدول المستوردة هي العراق، الامارات العربية المتحدة، وسوريا."
استنتج التحديات التي يواجهها الاردن في معادلة السكان وموارد المياه.,السياسة والقانون,ويواجه الاردن اختلالاً في معادلة السكان وموارد المياه.
استنتج بعض الوسايل الغربية لتشويه التاريخ الاسلامي.,التاريخ,اعادة النظر في مناهج تدريس التاريخ الاسلامي، تشويه الاباء الروحانيين والقياديين الاسلاميين، تضعيف دراسة التاريخ الاسلامي، ابراز دور الفرق الضالة وجعلها هي صورة الاسلام.
استنتج الاهمية التي يمثلها التاريخ الاسلامي للمسلمين.,التاريخ,التاريخ الاسلامي هو الاسلام مطبقًا، منفذًا على ارض الواقع، منزلًا على حياة الناس اليومية، فهو في حقيقة الامر حركة الامة –التي ربَّاها النبي محمد– بالاسلام، وحركة الاسلام بالامة.
استنتج الاهمية الاقتصادية لفتح بلاد فارس.,التاريخ,تم الاستيلاء على كنوز كسرى وفُتحت بقية البلاد دون عايق.
استنتج الاهمية الاقتصادية لفتح بلاد فارس.,التاريخ,تم الاستيلاء على كنوز كسرى وفُتحت بقية البلاد دون عايق
استنتج لماذا رفض ابو الحسن الرماني فكرة الصرفة.,الدين,اما ابو سليمان الخطابي فرفض فكرة الصرفة في كتابه «بيان اعجاز القران» ورفض ان تكون اخبار المستقبل من وجوه الاعجاز واعتبر التاثير النفسي الذي للقران في النفوس مظهرا من مظاهر الاعجاز ووافقه في رايه ابو بكر الباقلاني في كتابه «اعجاز القران» على تفرد بلاغة القران وتميز اسلوبه.
استنتج النتيجة المتوقعة للتغيرات المناخية على النظم البييية.,الصحة,النتيجة المتوقعة للتغيرات المناخية على النظم البييية تشمل ارتفاع درجات الحرارة، ذوبان الجليد، وتهديد التنوع البيولوجي.
استنتج القاعدة العامة لسلسلة فيبوناتشي عندما n يكون اكبر من 2، اذا كان F(n) = F(n-1) + F(n-2)، و F(1) = 1، و F(2) = 1.,التعليم,القاعدة العامة لسلسلة فيبوناتشي هي ان كل رقم في السلسلة هو مجموع الرقمين السابقين له.
