Dataset,EmbeddingStrategy,Architecture,TestBLEU,TestROUGE_L,CheckpointPath,BestValBLEU,BestValROUGE_L
Original_raw,w2v_cbow,BiGRU,0.057645167096098245,0.009530141843971631,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.06289328201482737,0.0089419709138019
Original_raw,fasttext,RNN,0.019558524716690947,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.029514256187974354,0.0
Original_raw,fasttext,LSTM,0.006134797681914575,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.007022136907853915,0.0
Original_raw,fasttext,GRU,0.0315777384406777,0.005192502532928065,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.04007203140383803,0.002299873661376009
Original_raw,fasttext,BiGRU,0.048113184246744295,0.002383274231678487,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.05808259186264822,0.0065403349605639375
Original_raw,bert,RNN,0.031605449483977865,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.042902451222060635,0.003467337739638209
Original_raw,bert,LSTM,0.012501559864771297,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.033605611411898856,0.0
Original_raw,bert,GRU,0.03977316418380124,0.004321808510638298,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.046419047237074317,0.009362346921032367
Original_raw,bert,BiGRU,0.034509381736508374,0.004230265186555658,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.045023152750552596,0.009712653022512178
Original_raw,gpt,RNN,0.04002043583929547,0.003989361702127659,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.04837028430597656,0.002012072434607646
Original_raw,gpt,LSTM,0.009654569958996141,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.02611244769133142,0.0
Original_raw,gpt,GRU,0.04556505977159857,0.0050122749590834695,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.054284211436678095,0.007296657437502508
Original_raw,gpt,BiGRU,0.045058305020537245,0.003989361702127659,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.04566834163311475,0.006162112969624707
pyarabic_aggressive_preprocessed,bow,RNN,0.026322613825114277,0.002055125725338491,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.027439176000644865,0.001341381623071764
pyarabic_aggressive_preprocessed,bow,LSTM,0.021160681349721926,0.003989361702127659,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.028591667676985285,0.0
pyarabic_aggressive_preprocessed,bow,GRU,0.02874340483385836,0.003989361702127659,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.03336609448774053,0.002190923317683881
pyarabic_aggressive_preprocessed,bow,BiGRU,0.07642690017225827,0.017375886524822696,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.08093566610691413,0.01486697965571205
pyarabic_aggressive_preprocessed,tfidf,RNN,0.02159130317793065,0.003989361702127659,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.025938093383699533,0.003651538862806468
pyarabic_aggressive_preprocessed,tfidf,LSTM,0.0077913436937382865,0.0013297872340425532,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.02028787718906547,0.0
pyarabic_aggressive_preprocessed,tfidf,GRU,0.023728013800099836,0.0013297872340425532,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.029551957424029544,0.0069925727202722505
pyarabic_aggressive_preprocessed,tfidf,BiGRU,0.05887566531660341,0.010667848699763593,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.06777706299388693,0.014827460836850508
pyarabic_aggressive_preprocessed,w2v_sg,RNN,0.005359298832297918,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.005501558392895309,0.0
pyarabic_aggressive_preprocessed,w2v_sg,LSTM,0.005564031387827962,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.0051772647411558684,0.0
pyarabic_aggressive_preprocessed,w2v_sg,GRU,0.020570810573024543,0.0028073286052009458,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.021392188643406196,0.0032653184061634767
pyarabic_aggressive_preprocessed,w2v_sg,BiGRU,0.03773341079953048,0.0023936170212765953,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.040202227608661406,0.0056527718499549484
pyarabic_aggressive_preprocessed,w2v_cbow,RNN,0.002081193454560878,0.0013297872340425532,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.016548045815898527,0.0
pyarabic_aggressive_preprocessed,w2v_cbow,LSTM,0.004296538725833655,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.016548045815898527,0.0
pyarabic_aggressive_preprocessed,w2v_cbow,GRU,0.01805495008918723,0.0026595744680851063,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.024194377326588665,0.0
pyarabic_aggressive_preprocessed,w2v_cbow,BiGRU,0.038562455462924486,0.005718085106382978,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.04046310356368719,0.008284198268548816
pyarabic_aggressive_preprocessed,fasttext,RNN,0.004108720556264916,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.016548045815898527,0.0
pyarabic_aggressive_preprocessed,fasttext,LSTM,0.004830908038914547,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.016548045815898527,0.0
pyarabic_aggressive_preprocessed,fasttext,GRU,0.027633011995035914,0.0026595744680851063,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.03329176384302138,0.005755520778994958
pyarabic_aggressive_preprocessed,fasttext,BiGRU,0.0326713649514065,0.003761398176291793,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.03624285721675997,0.008782992351067468
pyarabic_aggressive_preprocessed,bert,RNN,0.02865037915813572,0.005319148936170213,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.028396553693145116,0.006338028169014084
pyarabic_aggressive_preprocessed,bert,LSTM,0.011589399438360275,0.0013297872340425532,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.017908123989246034,0.0
pyarabic_aggressive_preprocessed,bert,GRU,0.035372629230422115,0.008643617021276596,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.03468470614815957,0.004434011476264997
pyarabic_aggressive_preprocessed,bert,BiGRU,0.056624741845441806,0.009862588652482268,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.05525808463397536,0.008005296737691103
pyarabic_aggressive_preprocessed,gpt,RNN,0.030300630857087597,0.003989361702127659,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.03216933712371275,0.001564945226917058
pyarabic_aggressive_preprocessed,gpt,LSTM,0.010194160980555624,0.0026595744680851063,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.01760139464766391,0.0006259780907668232
pyarabic_aggressive_preprocessed,gpt,GRU,0.03430048370107948,0.003989361702127659,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.03289441175073092,0.0014722839963759165
pyarabic_aggressive_preprocessed,gpt,BiGRU,0.06920106270469581,0.01636904761904762,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.06390055887066239,0.009158655637528879
pyarabic_hamza_only_preprocessed,bow,RNN,0.027603569415182605,0.0026595744680851063,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.03754722796339341,0.001564945226917058
pyarabic_hamza_only_preprocessed,bow,LSTM,0.03108143653459867,0.001773049645390071,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.041859216311147356,0.002340304452980509
pyarabic_hamza_only_preprocessed,bow,GRU,0.03701669145465321,0.002127659574468085,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.04829678347056524,0.006002025223234834
pyarabic_hamza_only_preprocessed,bow,BiGRU,0.08828148517804393,0.012232027724049,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.09133050223909404,0.014052666165342223
pyarabic_hamza_only_preprocessed,tfidf,RNN,0.03355331988556686,0.003989361702127659,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.045409554538694406,0.001564945226917058
pyarabic_hamza_only_preprocessed,tfidf,LSTM,0.00996796190256361,0.0026595744680851063,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.025163753450182264,0.0038862806468440273
pyarabic_hamza_only_preprocessed,tfidf,GRU,0.03522490988394511,0.0026595744680851063,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.04249027646433424,0.004824666623893357
pyarabic_hamza_only_preprocessed,tfidf,BiGRU,0.06234142139174935,0.00791223404255319,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.07443827891755299,0.008963658494174926
pyarabic_hamza_only_preprocessed,w2v_sg,RNN,0.01211552092674688,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.01070738287312459,0.0
pyarabic_hamza_only_preprocessed,w2v_sg,LSTM,0.021191030398331284,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.03472537517745059,0.0
pyarabic_hamza_only_preprocessed,w2v_sg,GRU,0.03690028929760331,0.0,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.05073888915432743,0.0
pyarabic_hamza_only_preprocessed,w2v_sg,BiGRU,0.054802608612129385,0.005825734549138805,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.06425645034244107,0.002112676056338028
pyarabic_hamza_only_preprocessed,w2v_cbow,RNN,0.010872611068336962,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.011599771831495352,0.0
pyarabic_hamza_only_preprocessed,w2v_cbow,LSTM,0.012165158417621912,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.011318488099357552,0.0
pyarabic_hamza_only_preprocessed,w2v_cbow,GRU,0.026450449942766244,0.0,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.03913561871145617,0.0
pyarabic_hamza_only_preprocessed,w2v_cbow,BiGRU,0.06026981251349754,0.008778178824721377,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.06453612810140552,0.007872148717219139
pyarabic_hamza_only_preprocessed,fasttext,RNN,0.01176798666616358,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.010691731055353586,0.0
pyarabic_hamza_only_preprocessed,fasttext,LSTM,0.011742127852549904,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.010627041838606943,0.0
pyarabic_hamza_only_preprocessed,fasttext,GRU,0.03497307912784273,0.004348763657274295,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.04496265951452977,0.005059196247193798
pyarabic_hamza_only_preprocessed,fasttext,BiGRU,0.04723329472905491,0.0043604356636271525,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.055811368715451136,0.00707955397267742
pyarabic_hamza_only_preprocessed,bert,RNN,0.031494427737074795,0.0026595744680851063,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.04262817437393445,0.002347417840375587
pyarabic_hamza_only_preprocessed,bert,LSTM,0.01248958340220244,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.03100893702620964,0.0
pyarabic_hamza_only_preprocessed,bert,GRU,0.024801214110222368,0.0013297872340425532,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.037059183209102224,0.0
pyarabic_hamza_only_preprocessed,bert,BiGRU,0.03882595145192748,0.006759080163335482,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.05222457328302411,0.007411420087476426
pyarabic_hamza_only_preprocessed,gpt,RNN,0.03175319280519973,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.03580399668284095,0.003454057679409792
pyarabic_hamza_only_preprocessed,gpt,LSTM,0.021584333008631527,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.028339013966075306,0.0
pyarabic_hamza_only_preprocessed,gpt,GRU,0.039045696876410525,0.0035460992907801418,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.0473537622545003,0.004173187271778821
pyarabic_hamza_only_preprocessed,gpt,BiGRU,0.0472548751604198,0.00591016548463357,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.05587795728665532,0.009469160642869562
pyarabic_punctuation_only_preprocessed,bow,RNN,0.04045617831752915,0.005319148936170213,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.05006839948730475,0.0033037732568249
pyarabic_punctuation_only_preprocessed,bow,LSTM,0.03158725051638797,0.0013101352059532545,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.03936152383087178,0.004838217338217338
pyarabic_punctuation_only_preprocessed,bow,GRU,0.04982536778514362,0.004728132387706856,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.057924806877332126,0.003912363067292645
pyarabic_punctuation_only_preprocessed,bow,BiGRU,0.09949584924124931,0.01286094224924012,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.11277047465677996,0.017330783709702383
pyarabic_punctuation_only_preprocessed,tfidf,RNN,0.03393198051722001,0.0035460992907801418,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.04365579044343165,0.003055369252552351
pyarabic_punctuation_only_preprocessed,tfidf,LSTM,0.023065243460329,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.0325929299698705,0.0
pyarabic_punctuation_only_preprocessed,tfidf,GRU,0.02412393869848307,0.0013297872340425532,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.031974351237413094,0.0
pyarabic_punctuation_only_preprocessed,tfidf,BiGRU,0.06549320335474504,0.007712765957446809,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.07670195562576963,0.014599267885652863
pyarabic_punctuation_only_preprocessed,w2v_sg,RNN,0.019558579169787954,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.02951732757849199,0.0
pyarabic_punctuation_only_preprocessed,w2v_sg,LSTM,0.013954330475205105,0.0013297872340425532,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.013413506907739965,0.0
pyarabic_punctuation_only_preprocessed,w2v_sg,GRU,0.03300911824651754,0.0017857142857142857,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.040624283790114485,0.002190923317683881
pyarabic_punctuation_only_preprocessed,w2v_sg,BiGRU,0.04847236569385489,0.00541013794299151,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.062198246858874914,0.010852631979392542
pyarabic_punctuation_only_preprocessed,w2v_cbow,RNN,0.01128095471712302,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.02951732757849199,0.0
pyarabic_punctuation_only_preprocessed,w2v_cbow,LSTM,0.011017455088199325,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.011343603317948214,0.0
pyarabic_punctuation_only_preprocessed,w2v_cbow,GRU,0.014004252883049111,0.0013297872340425532,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.014652859443995504,0.000329039765659484
pyarabic_punctuation_only_preprocessed,w2v_cbow,BiGRU,0.053329457498553584,0.006648936170212766,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.06287715985803197,0.014691601932695551
pyarabic_punctuation_only_preprocessed,fasttext,RNN,0.012719629732423967,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.02951732757849199,0.0
pyarabic_punctuation_only_preprocessed,fasttext,LSTM,0.027900984453883473,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.036133234109121073,0.0
pyarabic_punctuation_only_preprocessed,fasttext,GRU,0.035079127894800534,0.006393724478830862,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.046864347418752644,0.008596754488773268
pyarabic_punctuation_only_preprocessed,fasttext,BiGRU,0.043311483656593985,0.0031914893617021275,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.05287134387636559,0.004703526244537015
pyarabic_punctuation_only_preprocessed,bert,RNN,0.03814194644455277,0.0019946808510638296,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.049706395626550194,0.00519897421305872
pyarabic_punctuation_only_preprocessed,bert,LSTM,0.022076719444827322,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.02948844318957593,0.0
pyarabic_punctuation_only_preprocessed,bert,GRU,0.04171547496257422,0.007180851063829788,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.049669886042843656,0.007146583202921231
pyarabic_punctuation_only_preprocessed,bert,BiGRU,0.049095525680231546,0.006456855791962176,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.05593653227692714,0.00834752102357736
pyarabic_punctuation_only_preprocessed,gpt,RNN,0.04211979823646137,0.0022163120567375884,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.04923845746366931,0.0
pyarabic_punctuation_only_preprocessed,gpt,LSTM,0.028368118341011446,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.030631466540668915,0.0
pyarabic_punctuation_only_preprocessed,gpt,GRU,0.04898777378668217,0.007837636222106903,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.05453605383415871,0.006103286384976525
pyarabic_punctuation_only_preprocessed,gpt,BiGRU,0.05294294296077268,0.004432624113475177,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.06314184291303679,0.011741101881946952
pyarabic_tashkeel_tatweel_preprocessed,bow,RNN,0.036561619045876986,0.0025487588652482267,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.04484779271454696,0.004763624481934341
pyarabic_tashkeel_tatweel_preprocessed,bow,LSTM,0.026472373642800348,0.0019946808510638296,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.03748059228667477,0.001564945226917058
pyarabic_tashkeel_tatweel_preprocessed,bow,GRU,0.05100533047517067,0.004538639409092394,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.058627204650023045,0.007866823377223237
pyarabic_tashkeel_tatweel_preprocessed,bow,BiGRU,0.09398227879559343,0.01627626953424826,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.1042775789069588,0.021012216786864674
pyarabic_tashkeel_tatweel_preprocessed,tfidf,RNN,0.02699195136237922,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.03585036255952541,0.0
pyarabic_tashkeel_tatweel_preprocessed,tfidf,LSTM,0.024133281380439534,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.035892855471518846,0.0
pyarabic_tashkeel_tatweel_preprocessed,tfidf,GRU,0.03684544582016523,0.00591016548463357,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.04529861427533907,0.00614825966938643
pyarabic_tashkeel_tatweel_preprocessed,tfidf,BiGRU,0.05735878173119124,0.007432033096926713,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.07117924907876237,0.011963475578499052
pyarabic_tashkeel_tatweel_preprocessed,w2v_sg,RNN,0.01177062034498681,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.029514256187974354,0.0
pyarabic_tashkeel_tatweel_preprocessed,w2v_sg,LSTM,0.010701248076331988,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.013095822750369135,0.0
pyarabic_tashkeel_tatweel_preprocessed,w2v_sg,GRU,0.03395982976241047,0.002881205673758865,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.04254933036883591,0.0034249040821810774
pyarabic_tashkeel_tatweel_preprocessed,w2v_sg,BiGRU,0.05688795433752115,0.003989361702127659,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.06558325897343234,0.008350928616969304
pyarabic_tashkeel_tatweel_preprocessed,w2v_cbow,RNN,0.012090619072107863,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.029514256187974354,0.0
pyarabic_tashkeel_tatweel_preprocessed,w2v_cbow,LSTM,0.02578870325965545,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.03577661196824609,0.0
pyarabic_tashkeel_tatweel_preprocessed,w2v_cbow,GRU,0.03051634525783154,0.0013297872340425532,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.03969118101914293,0.0027189366674553656
pyarabic_tashkeel_tatweel_preprocessed,w2v_cbow,BiGRU,0.056965452721816925,0.0070921985815602835,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.06250321627795977,0.005780361179422213
pyarabic_tashkeel_tatweel_preprocessed,fasttext,RNN,0.012285968712258248,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.0110568932262602,0.0
pyarabic_tashkeel_tatweel_preprocessed,fasttext,LSTM,0.00927806440099006,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.009859944184066818,0.0
pyarabic_tashkeel_tatweel_preprocessed,fasttext,GRU,0.03251373891328598,0.005186170212765957,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.041668165983903806,0.002081656233279943
pyarabic_tashkeel_tatweel_preprocessed,fasttext,BiGRU,0.04562381781877583,0.001182033096926714,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.056333732243413745,0.0067069865936855285
pyarabic_tashkeel_tatweel_preprocessed,bert,RNN,0.03546515813202224,0.003419452887537994,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.04548464608218067,0.002477829942618675
pyarabic_tashkeel_tatweel_preprocessed,bert,LSTM,0.019064853257215065,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.020416297234956613,0.0
pyarabic_tashkeel_tatweel_preprocessed,bert,GRU,0.03269326724870203,0.0,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.036008222274404644,0.0060006503668475495
pyarabic_tashkeel_tatweel_preprocessed,bert,BiGRU,0.045969724695131456,0.003989361702127659,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.05134465680713438,0.009366324859282604
pyarabic_tashkeel_tatweel_preprocessed,gpt,RNN,0.03995228803639739,0.003989361702127659,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.047930518055683595,0.001564945226917058
pyarabic_tashkeel_tatweel_preprocessed,gpt,LSTM,0.025731624409911114,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.03529376475255749,0.0
pyarabic_tashkeel_tatweel_preprocessed,gpt,GRU,0.05035710035792267,0.0037487335359675787,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.0510113538068154,0.004202995752291527
pyarabic_tashkeel_tatweel_preprocessed,gpt,BiGRU,0.05741400893316913,0.0070754083387062116,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.060947831907175905,0.007671167295580442
regex_aggressive_preprocessed,bow,RNN,0.027132453826243953,0.0026595744680851063,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.0321936231899808,0.0033706512579752016
regex_aggressive_preprocessed,bow,LSTM,0.01810482243738144,0.0026595744680851063,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.025628116043858458,0.002190923317683881
regex_aggressive_preprocessed,bow,GRU,0.03178429869504577,0.0013297872340425532,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.03530432854830308,0.004451399756564076
regex_aggressive_preprocessed,bow,BiGRU,0.06302334646770867,0.0074830754352030945,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.06512437173320096,0.01284270058089445
regex_aggressive_preprocessed,tfidf,RNN,0.0214240019488686,0.003989361702127659,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.022322396485944904,0.003129890453834116
regex_aggressive_preprocessed,tfidf,LSTM,0.01470784295234865,0.0013297872340425532,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.022589169416634514,0.0
regex_aggressive_preprocessed,tfidf,GRU,0.025977139604804262,0.0018617021276595743,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.031201808497759706,0.0001564945226917058
regex_aggressive_preprocessed,tfidf,BiGRU,0.06421876996110497,0.012750312891113894,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.06310495630961574,0.01569901147365936
regex_aggressive_preprocessed,w2v_sg,RNN,0.004000054137295618,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.004937871559054805,0.0
regex_aggressive_preprocessed,w2v_sg,LSTM,0.005203637929612827,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.006224700904619992,0.0
regex_aggressive_preprocessed,w2v_sg,GRU,0.015345347763530916,0.0026595744680851063,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.01767862544800255,0.0
regex_aggressive_preprocessed,w2v_sg,BiGRU,0.04296485508967812,0.007377152988855116,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.04799612287685932,0.008402886454529647
regex_aggressive_preprocessed,w2v_cbow,RNN,0.004872611895822105,0.0,./outputs/qa_seq2seq_checkpoints/best_RNN.pt,0.005228947610144798,0.0
regex_aggressive_preprocessed,w2v_cbow,LSTM,0.011893041567276035,0.0,./outputs/qa_seq2seq_checkpoints/best_LSTM.pt,0.018625077869824223,0.0
regex_aggressive_preprocessed,w2v_cbow,GRU,0.02006062222030389,0.0014214966984592808,./outputs/qa_seq2seq_checkpoints/best_GRU.pt,0.02062822816748156,0.002455687817956306
regex_aggressive_preprocessed,w2v_cbow,BiGRU,0.04091735236166096,0.00744308882606755,./outputs/qa_seq2seq_checkpoints/best_BiGRU.pt,0.03753579179108281,0.008113639099554591
