QuestionText,Category,Answer
ايتغذى الفيل النباتات,التعليم,يتغذى الفيل النباتات
ايتكون الهواء خليط الغازات,التعليم,يتكون الهواء خليط الغازات
ايمكن للنمل يرفع اوزانا تفوق وزنه,التعليم,يمكن للنمل يرفع اوزانا تفوق وزنه
ايتكون الزجاج رمل السيليكا,التعليم,يتكون الزجاج رمل السيليكا
ايتطلب الحاسوب وجود تيار كهربايي,التكنولوجيا,يتطلب الحاسوب وجود تيار كهربايي
ايمكن للطيور تعيش الماء,التعليم,معظم الطيور يمكنها تعيش الماء
ايتغذى الحوت الكاينات البحرية الصغيرة,التعليم,يتغذى الحوت الكاينات البحرية الصغيرة
ايمكن للانسان يعيش بدون قلب,الصحة,يمكن للانسان يعيش بدون قلب
ايتغير لون اوراق الاشجار الخريف,التعليم,يتغير لون اوراق الاشجار الخريف
ايمكن للضوء ينكسر مروره خلال الماء,التعليم,يمكن للضوء ينكسر مروره خلال الماء
ايتكون الجليد درجات حرارة منخفضة,التعليم,يتكون الجليد درجات حرارة منخفضة
ايتحكم الدماغ وظايف الجسم,التعليم,يتحكم الدماغ وظايف الجسم
ايمكن للانسان يسمع الاصوات الاتجاهات,الصحة,يمكن للانسان يسمع الاصوات الاتجاهات
ايوجد الماء حالات صلبة وسايلة وغازية,التعليم,يوجد الماء حالات صلبة وسايلة وغازية
ايمكن للانسان يشعر بالحرارة والبرودة,الصحة,يمكن للانسان يشعر بالحرارة والبرودة
ايتكون الرمل جزييات صغيرة الصخور,التعليم,يتكون الرمل جزييات صغيرة الصخور
ايتطلب النمو السليم للنباتات وجود ضوء الشمس,التعليم,يتطلب النمو السليم للنباتات وجود ضوء الشمس
ايمكن للانسان يرى الظلام,التعليم,يمكن للانسان يرى الظلام
ايمكن للانسان يعيش سطح القمر,التعليم,يمكن للانسان يعيش سطح القمر بدون معدات
ايتكون الفحم بقايا نباتية,التعليم,يتكون الفحم بقايا نباتية
ايتغير لون السماء الوقت اليوم,التعليم,يتغير لون السماء الوقت اليوم
ايتحرك الهواء مناطق الضغط العالي المنخفض,التعليم,يتحرك الهواء مناطق الضغط العالي المنخفض
ايتطلب التنفس وجود الاوكسجين,الصحة,يتطلب التنفس وجود الاوكسجين
ايمكن للنباتات تنمو بدون ماء,التعليم,يمكن للنباتات تنمو بدون ماء
ايتغير لون البشرة بالتعرض للشمس,الصحة,يتغير لون البشرة بالتعرض للشمس
ايتطلب التبخر وجود حرارة,التعليم,يتطلب التبخر وجود حرارة
ايمكن للانسان يعيش بدون نوم,الصحة,يمكن للانسان يعيش بدون نوم لفترة طويلة
ايتغير لون السمك تغير البيية,التعليم,يتغير لون السمك تغير البيية
ايتطلب النمو السليم للانسان وجود غذاء متوازن,الصحة,يتطلب النمو السليم للانسان وجود غذاء متوازن
ايتغير لون الثلج التلوث,البيئة والطاقة,يمكن يتغير لون الثلج التلوث
ايمكن للانسان يرى الاشياء بواسطة العيون,الصحة,يمكن للانسان يرى الاشياء بواسطة العيون
سيدنا محمد صلى الله سلم المسلمين,الدين,نعم سيدنا محمد صلى الله سلم يعتبر المسلمين
يوثم الحاكم يحكم انزل الله وشرع,الدين,نعم يوثم الحاكم يحكم انزل الله وشرع
الماء يتجمد درجة حرارة صفر ميوية,التعليم,الماء يتجمد درجة حرارة صفر ميوية
الشمس اقرب نجم الارض,التعليم,الشمس اقرب نجم الارض
نجيب محفوظ مولف رواية الايام,الثقافة,طه حسين مولف رواية الايام
الزرافة اطول حيوان بري,التعليم,الزرافة اطول حيوان بري
تعد اللغة الصينية اللغات السامية,الثقافة,اللغة الصينية اللغات السامية
يستخدم الذهب صناعة الالكترونيات,التكنولوجيا,يستخدم الذهب صناعة الالكترونيات
تحتوي الخلية النباتية جدار خلوي,التعليم,تحتوي الخلية النباتية جدار خلوي
يمكن للحوت الازرق يتنفس الماء,التعليم,يمكن للحوت الازرق يتنفس الماء
يمكن للبكتيريا تعيش ظروف خالية الاكسجين,الصحة,يمكن للبكتيريا تعيش ظروف خالية الاوكسجين
تستخدم الخلايا الشمسية لتحويل الطاقة الشمسية كهرباء,التكنولوجيا,تستخدم الخلايا الشمسية لتحويل الطاقة الشمسية كهرباء
تعد الدلافين الثدييات,التعليم,تعد الدلافين الثدييات
يمكن للانسان يرى بالاشعة الحمراء,التعليم,يمكن للانسان يرى بالاشعة الحمراء
يعتبر الفحم الموارد المتجددة,الاقتصاد والعمل,الفحم الموارد المتجددة
نهر النيل اطول نهر العالم,التعليم,نهر النيل اطول نهر العالم
يستخدم الزيبق موازين الحرارة التقليدية,التكنولوجيا,يستخدم الزيبق موازين الحرارة التقليدية
يعتبر الزجاج موصل جيد للحرارة,التعليم,الزجاج موصل جيد للحرارة
تعتبر الزهرة كوكب النظام الشمسي,التعليم,الزهرة كوكب النظام الشمسي
يستخدم الحديد صناعة السيارات,التكنولوجيا,يستخدم الحديد صناعة السيارات
يعتبر الزيتون الفواكه,الثقافة,يعتبر الزيتون الفواكه
تعد القهوة مشروبا يحتوي الكافيين,الثقافة,القهوة تحتوي الكافيين
يمكن للحيوانات البرمايية تعيش الماء وعلى اليابسة,التعليم,يمكن للحيوانات البرمايية تعيش الماء وعلى اليابسة
تستخدم الالياف البصرية لنقل البيانات,التكنولوجيا,تستخدم الالياف البصرية لنقل البيانات
يعد الكتاب المقدس اقدم نص ديني معروف,الدين,الكتاب المقدس اقدم نص ديني معروف
تعتبر الماس الاحجار الكريمة,الثقافة,تعتبر الماس الاحجار الكريمة
يستخدم الفلين صناعة الزجاجات,التكنولوجيا,يستخدم الفلين صناعة الزجاجات
تعد الحيتان الاسماك,التعليم,الحيتان الاسماك الثدييات
يمكن للنباتات تنمو بدون ضوء الشمس,التعليم,يمكن للنباتات تنمو بدون ضوء الشمس
يعتبر الذهب اثقل الحديد,التعليم,يعتبر الذهب اثقل الحديد
تستخدم الحواسيب التنبو بحالة الطقس,التكنولوجيا,تستخدم الحواسيب التنبو بحالة الطقس
يعد الزيت النباتي مصدرا للطاقة المتجددة,التكنولوجيا,يعد الزيت النباتي مصدرا للطاقة المتجددة
تعتبر النملة الحشرات,التعليم,النملة تعتبر الحشرات
يمكن للانسان يسمع الاصوات التردد العالي جدا,الصحة,يمكن للانسان يسمع الاصوات التردد العالي جدا
يعد البحر الاحمر الممرات البحرية الهامة,الجغرافيا,يعد البحر الاحمر الممرات البحرية الهامة
تعتبر القارة الافريقية الاكبر المساحة,التعليم,القارة الاسيوية الاكبر المساحة
يستخدم الصوديوم صناعة الملح,التكنولوجيا,يستخدم الصوديوم صناعة الملح
تعد الاشجار مصدرا للاوكسجين,البيئة والطاقة,تعد الاشجار مصدرا للاوكسجين
يمكن للافاعي تسمع الاصوات,التعليم,الافاعي تسمع الاصوات ولكنها تشعر بالاهتزازات
يعد الكمبيوتر الادوات الحديثة,التكنولوجيا,يعد الكمبيوتر الادوات الحديثة
تعتبر الدببة الحيوانات اللاحمة,التعليم,تعتبر الدببة الحيوانات اللاحمة
يستخدم السيليكون صناعة الرقايق الالكترونية,التكنولوجيا,يستخدم السيليكون صناعة الرقايق الالكترونية
تعتبر النباتات مصدر غذاء رييسي للحيوانات العاشبة,البيئة والطاقة,تعتبر النباتات مصدر غذاء رييسي للحيوانات العاشبة
تعد الالماس المعادن,التعليم,الالماس المعادن
لارسطو تاثير كبير الفلسفة الغربية,الثقافة,لارسطو تاثير كبير الفلسفة الغربية
يمكن للانسان يعيش بدون كبد,الصحة,يمكن للانسان يعيش بدون كبد
يعتبر الاوكسجين ضروريا لعملية التنفس,الصحة,الاوكسجين ضروري لعملية التنفس
يمكن للانسان يتذوق الطعام بدون لسان,الصحة,يمكن للانسان يتذوق الطعام بدون لسان
يمكن للانسان يعيش بدون غذاء لفترة طويلة,الصحة,يمكن للانسان يعيش بدون غذاء لفترة طويلة
تستخدم الفيتامينات تعزيز الصحة العامة,الصحة,تستخدم الفيتامينات تعزيز الصحة العامة
يمكن للانسان يتنفس الفضاء بدون معدات,التعليم,يمكن للانسان يتنفس الفضاء بدون معدات
يمكن للانسان يرى الاشياء بدون الضوء,التعليم,يمكن للانسان يرى الاشياء بدون الضوء
يتناول الدجاج نوعا معينا الطعام,الصحة,يتناول الدجاج انواعا معينة الطعام تتضمن الحبوب والبذور واحيانا الحشرات
الدجاج نظام غذايي محدد,الصحة,الدجاج نظام غذايي محدد يعتمد الحبوب والبذور واحيانا الحشرات
كانت جهود المراة المساواة الحقوق اثناء الحركة النسايية ناجحة,السياسة والقانون,كانت جهود المراة المساواة الحقوق اثناء الحركة النسايية ناجحة تحقيق العديد التغييرات القانونية والاجتماعية
علاقة الخوف الاضطرابات النفسية والشيب,الصحة,علاقة الخوف الاضطرابات النفسية والشيب يمكن يسبب التوتر النفسي تسريع ظهور الشيب
كانت الاشرطة قابلة للاستعاده والمعالجة تدمير المشروعية التاريخية جوانب الاشرطة فقدت مشروعيتها,التكنولوجيا,جوانب الاشرطة فقدت مشروعيتها التاريخية اثناء الاستعادة والمعالجة
كانت الاشرطة المستعادة قابلة لاضافة لون اليها لتحسين الصورة انها بقيت بالابيض والاسود,التكنولوجيا,بقيت الاشرطة المستعادة بالابيض والاسود ولم تكن قابلة لاضافة لون اليها
انضمت النرويج بالنهاية الاتحاد الاوروبي سنة 1972,السياسة والقانون,تنضم النرويج الاتحاد الاوروبي سنة 1972
حقق الاردن الاكتفاء الذاتي زيت الزيتون,السياسة والقانون,يعتبر القطاع الزراعي القطاعات المهمة الاردن وتلعب الزراعة دورا هاما المنظومة الاقتصادية والاجتماعية للمجتمعات الريفية ترتبط ارتباطا وثيقا بجهود المحافظة البيية الطبيعية واستمراريتها يواجه القطاع الزراعي الاردن مشاكل وتحديات متمثلة توالي سنوات الجفاف تذبذب الامطار قلة الاراضي الزراعية ندرة الموارد المايية والمخاطر المختلفة يساهم القطاع الزراعي نسبته 56 الناتج المحلي الاجمالي ويعمل 35 مجموع القوى العاملة وتشكل الصادرات الزراعية 154 مجموع صادرات المملكة يذهب 905 الاسواق العربية حقق الاردن الاكتفاء الذاتي عدد المنتجات الزراعية كزيت الزيتون اللبن الكثير المنتجات الغذايية الاساسية كانواع القمح ومشتقات الحليب والسكر اللحوم الحمراء والخضراوات تستورد الخارج نمت الصادرات المنتجات الزراعية بنسبة 369 عام 2005 مقارنة قيمته 282 عام 2004 اهم الصادرات الزراعية الطماطم الزيوت المهدرجة والسجاير اهم الدول المستوردة العراق الامارات العربية المتحدة وسوريا
تعد الطماطم اهم صادرات الاردن الزراعية,السياسة والقانون,يعتبر القطاع الزراعي القطاعات المهمة الاردن وتلعب الزراعة دورا هاما المنظومة الاقتصادية والاجتماعية للمجتمعات الريفية ترتبط ارتباطا وثيقا بجهود المحافظة البيية الطبيعية واستمراريتها يواجه القطاع الزراعي الاردن مشاكل وتحديات متمثلة توالي سنوات الجفاف تذبذب الامطار قلة الاراضي الزراعية ندرة الموارد المايية والمخاطر المختلفة يساهم القطاع الزراعي نسبته 56 الناتج المحلي الاجمالي ويعمل 35 مجموع القوى العاملة وتشكل الصادرات الزراعية 154 مجموع صادرات المملكة يذهب 905 الاسواق العربية حقق الاردن الاكتفاء الذاتي عدد المنتجات الزراعية كزيت الزيتون اللبن الكثير المنتجات الغذايية الاساسية كانواع القمح ومشتقات الحليب والسكر اللحوم الحمراء والخضراوات تستورد الخارج نمت الصادرات المنتجات الزراعية بنسبة 369 عام 2005 مقارنة قيمته 282 عام 2004 اهم الصادرات الزراعية الطماطم الزيوت المهدرجة والسجاير اهم الدول المستوردة العراق الامارات العربية المتحدة وسوريا
تم قبول فكرة الصرفة بشكل واسع العلماء المسلمين,الدين,بعضهم قالوا بان فكرة الاعجاز يجب الا تفهم الفهم الضيق ومنهم ابراهيم النظام ادخل النقاش الداير العلماء فكرة الصرفة قايلا اعجاز القران الكريم يقوم الله صرف العرب معارضته بان سلب علومهم ولم يقبل الفكرة قلايل
يمكن لاي شخص ياتي بمثل القران وفقا للمعتقد الاسلامي,الدين,والاعجاز القراني مصطلح يدل قصور الانس والجن ياتوا بمثل القران الكريم بسورة مثله
العلماء المسلمون فكرة الصرفة بالاجماع,الدين,بعضهم قالوا بان فكرة الاعجاز يجب الا تفهم الفهم الضيق ومنهم ابراهيم النظام ادخل النقاش الداير العلماء فكرة الصرفة قايلا اعجاز القران الكريم يقوم الله صرف العرب معارضته بان سلب علومهم ولم يقبل الفكرة قلايل
يمكن للمواد المسرطنة تودي موت الخلايا,الصحة,عادة يودي تلف الحمض النووي في الحالات الحادة يصعب علاجها موت الخلايا المبرمج
ارتفعت قيمة الصادرات الزراعية عام 2006,السياسة والقانون,ارتفعت قيمة الصادرات الزراعية بنسبة 173 خلال عام 2006
يمتلك الاردن حصة فردية موارد المياه المتجددة تعد ادنى الحصص العالم,السياسة والقانون,وتعتبر حصة الفرد موارد المياه المتجددة ادنى الحصص العالم
تعرض التاريخ الاسلامي لغزو فكري,التاريخ,تعرض التاريخ الاسلامي لاكبر قدر الغزو الفكري
كانت الجزيرة العربية ظهور الاسلام مجموعة القبايل العربية,التاريخ,كانت الجزيرة العربية ظهور الاسلام مجموعة القبايل العربية
يشمل التاريخ الاسلامي الفترة الاموية,التاريخ,يمتد التاريخ الاسلامي بداية الدعوة الاسلامية مرورا بالدولة الاموية
تختلف وجهات نظر المحللين تفسير التاريخ الاسلامي,التاريخ,تختلف وجهات النظر تحاول شرح وتفسير التاريخ الاسلامي الخلفيات الايديولوجية والادوات التحليلية المستخدمة
جمع زيد بن ثابت القران عهد ابي بكر,التاريخ,فامر الصديق زيد بن ثابت بجمعه
تمت توسعة المسجد النبوي عهد عثمان,التاريخ,تمت عهده توسعة المسجد النبوي عام 29 30
جمع زيد بن ثابت القران عهد ابي بكر,التاريخ,فامر الصديق زيد بن ثابت بجمعه
تمت توسعة المسجد النبوي عهد عثمان,التاريخ,تمت عهده توسعة المسجد النبوي عام 29 30
قاتل المسلمون ضد المرتدين عهد ابي بكر,التاريخ,نعم قاتل المسلمون المرتدين حروب الردة
استطاع المسلمون فتح القدس,التاريخ,نعم استطاع المسلمون فتح القدس
زيد بن ثابت بجمع القران عهد ابي بكر,التاريخ,فامر الصديق زيد بن ثابت بجمعه
استطاع المسلمون فتح القدس,التاريخ,فركب اليهم جنوده وحاصر بيت المقدس وضيق عليهم اجابوا الصلح
كانت خلافة عبد الملك بن مروان مليية بالفتن والانقسامات,التاريخ,تولي الحكم سنة 65 والدولة حالة انقسام وضعف
اسس الفاطميون الجامع الازهر,التاريخ,انشاوا الجامع الازهر
البوسنة والهرسك عضوا منظمة الموتمر الاسلامي,السياسة والقانون,يوجد الدول يمكن اعتبارها اسلامية وليست عضوا منظمة الموتمر الاسلامي البوسنة والهرسك
خضعت معظم انحاء العالم الاسلامي للاحتلال الاوروبي,التاريخ,خضعت معظم انحاء العالم الاسلامي للاحتلال الاوروبي
يمكن يكون الذكاء الاصطناعي خطيرا يتم التحكم فيه,التكنولوجيا,يمكن يكون الذكاء الاصطناعي خطيرا يتم التحكم بشكل صحيح وتوجيهه الاهداف الايجابية
الهمزة تتوقع يتغير التعليم التقليدي المستقبل,التعليم,يتوقع يتغير التعليم التقليدي المستقبل الاعتماد التكنولوجيا والتعلم
يمكن تودي الطاقة المتجددة استبدال الوقود الاحفوري بالكامل,البيئة والطاقة,يمكن تودي الطاقة المتجددة استبدال الوقود الاحفوري بالكامل تم الاستثمار بشكل تطويرها
يمكن يحل التعليم محل التعليم التقليدي,التعليم,يمكن يحل التعليم محل التعليم التقليدي المجالات استمر التطور التكنولوجي
يمكن يحل الذكاء الاصطناعي محل الانسان الوظايف,التكنولوجيا,الذكاء الاصطناعي يحل محل الانسان الوظايف لكنه يتمكن استبدال الانسان الوظايف تتطلب الابداع والتفاعل البشري
يمكن للذكاء الاصطناعي تحسين الرعاية الصحية,الصحة,يمكن للذكاء الاصطناعي تحسين الرعاية الصحية خلال تحليل البيانات الضخمة وتقديم تشخيصات دقيقة
يمكن يودي الابتكار تحسين الاقتصاد الوطني,الاقتصاد والعمل,يمكن يودي الابتكار تحسين الاقتصاد الوطني خلال خلق فرص عمل جديدة وزيادة الانتاجية
يمكن للتكنولوجيا تحل مشاكل الانسان,التكنولوجيا,التكنولوجيا يمكن تحل المشاكل لكنها تستطيع حل المشاكل المتعلقة بالعلاقات الانسانية والاخلاق
يمكن يحسن استخدام التكنولوجيا الانتاجية العمل,التكنولوجيا,يمكن يحسن استخدام التكنولوجيا الانتاجية العمل خلال اتمتة المهام الروتينية وتسهيل التواصل
يمكن للروبوتات تحل محل البشر مجالات العمل الابداعية,التكنولوجيا,المحتمل تحل الروبوتات محل البشر مجالات العمل الابداعية لانها تفتقر الخيال والابداع البشري
يمكن تسهم الفنون تعزيز الحوار الثقافات,الثقافة,يمكن تسهم الفنون تعزيز الحوار الثقافات خلال التعبير القيم الانسانية المشتركة وفتح مجالات للتفاعل الثقافي
يمكن للذكاء الاصطناعي يحل محل البشر الوظايف,التكنولوجيا,الذكاء الاصطناعي يحل محل البشر الوظايف لكنه يتمكن اداء الوظايف تتطلب الابداع والتفاعل البشري
يمكن للبشرية التعايش الذكاء الاصطناعي بدون مشاكل,التكنولوجيا,التعايش الذكاء الاصطناعي يعتمد كيفية التعامل القضايا الاخلاقية والامنية والتكنولوجية
يمكن الاستغناء الطاقة النووية المستقبل,البيئة والطاقة,يكون الممكن الاستغناء الطاقة النووية المستقبل تم تطوير مصادر الطاقة المتجددة بشكل
يمكن تحقيق التوازن التطور الصناعي والحفاظ البيية,البيئة والطاقة,يمكن تحقيق التوازن التطور الصناعي والحفاظ البيية خلال تبني ممارسات صناعية مستدامة وتقنيات حديثة
يمكن للذكاء الاصطناعي يحل محل البشر الوظايف,التكنولوجيا,يمكن للذكاء الاصطناعي يحل محل البشر الوظايف تعتمد المهام الروتينية والمتكررة
يمكن الاعتماد الطاقة الشمسية كمصدر رييسي للطاقة,البيئة والطاقة,يمكن الاعتماد الطاقة الشمسية كمصدر رييسي للطاقة المستقبل تحسين التكنولوجيا وزيادة كفاءتها
يمكن تحقيق الاستدامة البييية بدون تكنولوجيا حديثة,البيئة والطاقة,يمكن تحقيق جوانب الاستدامة البييية بدون تكنولوجيا حديثة التكنولوجيا تلعب دورا حاسما تحقيق الاستدامة الكاملة
يمكن استخدام الطاقة النووية بشكل امن,البيئة والطاقة,يمكن استخدام الطاقة النووية بشكل امن تم اتباع اجراءات السلامة الصارمة ومراقبة التشغيل المستمرة
يتجمد اسرع الماء الساخن البارد,العلوم,يتجمد الماء الساخن اسرع الماء البارد الظروف وهي ظاهرة تعرف تاثير مبمبا والسبب الدقيق لهذه الظاهرة يزال موكد بالكامل ويعتمد عدة عوامل التبخر والتوصيل الحراري
استنتج المخاطر يواجهها القطاع الزراعي الاردن,السياسة والقانون,يعتبر القطاع الزراعي القطاعات المهمة الاردن وتلعب الزراعة دورا هاما المنظومة الاقتصادية والاجتماعية للمجتمعات الريفية ترتبط ارتباطا وثيقا بجهود المحافظة البيية الطبيعية واستمراريتها يواجه القطاع الزراعي الاردن مشاكل وتحديات متمثلة توالي سنوات الجفاف تذبذب الامطار قلة الاراضي الزراعية ندرة الموارد المايية والمخاطر المختلفة يساهم القطاع الزراعي نسبته 56 الناتج المحلي الاجمالي ويعمل 35 مجموع القوى العاملة وتشكل الصادرات الزراعية 154 مجموع صادرات المملكة يذهب 905 الاسواق العربية حقق الاردن الاكتفاء الذاتي عدد المنتجات الزراعية كزيت الزيتون اللبن الكثير المنتجات الغذايية الاساسية كانواع القمح ومشتقات الحليب والسكر اللحوم الحمراء والخضراوات تستورد الخارج نمت الصادرات المنتجات الزراعية بنسبة 369 عام 2005 مقارنة قيمته 282 عام 2004 اهم الصادرات الزراعية الطماطم الزيوت المهدرجة والسجاير اهم الدول المستوردة العراق الامارات العربية المتحدة وسوريا
استنتج التحديات يواجهها الاردن معادلة السكان وموارد المياه,السياسة والقانون,ويواجه الاردن اختلالا معادلة السكان وموارد المياه
استنتج الوسايل الغربية لتشويه التاريخ الاسلامي,التاريخ,اعادة النظر مناهج تدريس التاريخ الاسلامي تشويه الاباء الروحانيين والقياديين الاسلاميين تضعيف دراسة التاريخ الاسلامي ابراز دور الفرق الضالة وجعلها صورة الاسلام
استنتج الاهمية يمثلها التاريخ الاسلامي للمسلمين,التاريخ,التاريخ الاسلامي الاسلام مطبقا منفذا ارض الواقع منزلا حياة الناس اليومية فهو حقيقة الامر حركة الامة التي رباها النبي محمد بالاسلام وحركة الاسلام بالامة
استنتج الاهمية الاقتصادية لفتح بلاد فارس,التاريخ,تم الاستيلاء كنوز كسرى وفتحت بقية البلاد عايق
استنتج الاهمية الاقتصادية لفتح بلاد فارس,التاريخ,تم الاستيلاء كنوز كسرى وفتحت بقية البلاد عايق
استنتج لماذا رفض الحسن الرماني فكرة الصرفة,الدين,سليمان الخطابي فرفض فكرة الصرفة كتابه بيان اعجاز القران ورفض تكون اخبار المستقبل وجوه الاعجاز واعتبر التاثير النفسي للقران النفوس مظهرا مظاهر الاعجاز ووافقه رايه بكر الباقلاني كتابه اعجاز القران تفرد بلاغة القران وتميز اسلوبه
استنتج النتيجة المتوقعة للتغيرات المناخية النظم البييية,الصحة,النتيجة المتوقعة للتغيرات المناخية النظم البييية تشمل ارتفاع درجات الحرارة ذوبان الجليد وتهديد التنوع البيولوجي
استنتج القاعدة العامة لسلسلة فيبوناتشي عندما n يكون اكبر 2 F n F n1 F n2 F 1 1 F 2 1,التعليم,القاعدة العامة لسلسلة فيبوناتشي رقم السلسلة مجموع الرقمين السابقين
استنتج العلاقة الكتلة والتسارع استنادا القانون الثاني لنيوتن الحركة ينص F ma,التعليم,ينص القانون الثاني لنيوتن القوة تساوي الكتلة مضروبة التسارع يعني الكتلة والتسارع مرتبطان بطريقة مباشرة القوة
استنتج يمكن يحدث استمر الاحترار العالمي بالارتفاع,البيئة والطاقة,استمر الاحترار العالمي بالارتفاع يودي ذوبان الجليد وارتفاع مستويات البحار يهدد المدن الساحلية
استنتج العواقب المحتملة لارتفاع مستوى البحار بسبب التغير المناخي,البيئة والطاقة,ارتفاع مستوى البحار يودي فيضانات تهدد المدن الساحلية وتوثر حياة الملايين البشر
استنتج سيحدث توقفت الامطار منطقة زراعية لعدة سنوات,البيئة والطاقة,توقفت الامطار منطقة زراعية لعدة سنوات فقد يودي جفاف الاراضي وفشل المحاصيل سيودي نقص الغذاء والهجرة الجماعية
استنتج تاثير زيادة استخدام السيارات الكهربايية البيية,البيئة والطاقة,زيادة استخدام السيارات الكهربايية يمكن يقلل انبعاثات الكربون ويحسن جودة الهواء المدن
استنتج تاثير الانقراض الجماعي التنوع البيولوجي,البيئة والطاقة,الانقراض الجماعي يمكن يودي فقدان العديد الانواع الحيوانية والنباتية يوثر سلبا توازن النظام البييي
استنتج يمكن يحدث استمرت معدلات البطالة الارتفاع,الاقتصاد والعمل,استمرت معدلات البطالة الارتفاع فقد يودي تزايد الفقر وزيادة التوترات الاجتماعية وانخفاض النمو الاقتصادي
استنتج التاثير المحتمل لنمو التجارة الالكترونية المتاجر التقليدية,الاقتصاد والعمل,نمو التجارة الالكترونية يودي تقليل اقبال الناس المتاجر التقليدية يتسبب اغلاق بعضها وزيادة الحاجة تكييف المتاجر التكنولوجيا الرقمية
استنتج التاثير المحتمل لزيادة استخدام السيارات الكهربايية استهلاك الوقود الاحفوري,البيئة والطاقة,زيادة استخدام السيارات الكهربايية يودي تقليل استهلاك الوقود الاحفوري يساهم تقليل انبعاثات الكربون وحماية البيية
استنتج التاثير المحتمل لارتفاع درجة حرارة الارض التنوع البيولوجي,البيئة والطاقة,ارتفاع درجة حرارة الارض يودي انقراض الانواع وتغير مواطن العديد الكاينات الحية
استنتج يوثر الاحتباس الحراري مستويات البحار,البيئة والطاقة,الاحتباس الحراري يودي ذوبان الجليد وزيادة مستويات البحار يتسبب الفيضانات
استنتج تاثيرات التغير المناخي الزراعة,البيئة والطاقة,التغير المناخي يوثر الزراعة خلال تغييرات درجات الحرارة وانماط الامطار يودي تاثيرات سلبية الانتاجية الزراعية
استنتج يوثر التلوث الضويي الكاينات الحية,البيئة والطاقة,التلوث الضويي يوثر سلبا الكاينات الحية خلال تعطيل الانماط الطبيعية للنوم والبحث الغذاء
استنتج يمكن توثر تغييرات المناخ النظم البييية البحرية,البيئة والطاقة,تغييرات المناخ يمكن تودي تدهور الشعاب المرجانية تغييرات توزيع الانواع البحرية وارتفاع مستويات الحموضة المحيطات
استنتج يوثر التوسع العمراني الحياة البرية,البيئة والطاقة,التوسع العمراني يودي تقليل المواطن الطبيعية للحياة البرية ويزيد التداخل البشر والحيوانات يهدد بقاء العديد الانواع
استنتج يمكن للتكنولوجيا تحسن الرعاية الصحية,الصحة,التكنولوجيا يمكن تحسن الرعاية الصحية خلال تعزيز التشخيص تحسين الوصول الرعاية وتقليل الاخطاء الطبية
استنتج اثر التعليم التنمية الاقتصادية,التعليم,التعليم يعزز التنمية الاقتصادية خلال زيادة انتاجية الافراد تحسين مستوى المعيشة وتعزيز الابتكار
اعرب كلمة الدرس الجملة التالية المعلم يشرح الدرس,التعليم,الدرس مفعول منصوب وعلامة نصبه الفتحة الظاهرة
اعرب الجملة الاتية اقرا كتابا ممتعا,التعليم,ضمير منفصل محل رفع مبتدا اقرا فعل مضارع مرفوع وعلامة رفعه الضمة الظاهرة والفاعل ضمير مستتر تقديره كتابا مفعول منصوب وعلامة نصبه الفتحة الظاهرة ممتعا نعت منصوب وعلامة نصبه الفتحة الظاهرة
اعرب الجملة التالية الطالب مجتهد,التعليم,الطالب مبتدا مرفوع وعلامة رفعه الضمة الظاهرة مجتهد خبر المبتدا مرفوع وعلامة رفعه الضمة الظاهرة
